11 800
303 500
194 384 12 2

Coordinates
1      0.84986    -0.038798     -0.86307
2      0.37679     0.068878     -0.55882
3       0.5552    0.0085787     -0.29292
4    -0.032137    -0.050304     -0.85167
5     -0.04912      0.16582      -0.2849
6      0.28719     0.051672      0.22568
7     -0.28318    -0.004674     -0.30768
8    -0.031691      0.90836     -0.29155
9    -0.076732      0.83658     -0.22323
10      0.29251       0.7422      0.19908
11      0.25323      0.81179      0.14101
12     -0.50797     0.030063     -0.27909
13     -0.16239      0.12115      0.28286
14    -0.098497      0.80251      0.24882
15     -0.85356     -0.06102     -0.84104
16     -0.17525      0.79773      0.27056
17      0.29808       1.4654      0.17122
18     -0.10568       1.5398     -0.15859
19      0.21758       1.6098     0.052116
20    -0.013369       1.6889     -0.29854
21    -0.031558       1.5164      0.21315
22     -0.18872       1.5069      0.25767
23      0.30389       2.2192      0.14218
24     -0.13588       2.2734    -0.091154
25     0.038237       2.2607      0.17596
26      0.18035       2.4431    -0.040711
27    0.0057829       2.5049     -0.30585
28     -0.20278       2.2467      0.24423
29      0.30992       3.0012      0.11207
30      0.11065       3.0328      0.13738
31     -0.16718       3.0338    -0.021251
32     -0.21736       3.0137      0.23028
33      0.14189       3.3041     -0.13662
34     0.025509       3.3453     -0.31338
35      0.31596       3.7845     0.081894
36      0.18311       3.8056      0.09877
37     -0.19848       3.7942     0.048652
38     -0.23193       3.7808      0.21634
39      0.10343       4.1651     -0.23252
40     0.045236       4.1857      -0.3209
41      0.26916       4.1841     0.073137
42     -0.22668       4.1694      0.14649
43        0.322       4.5678     0.051723
44      0.25557       4.5784     0.060161
45     -0.22978       4.5546      0.11855
46     -0.24651       4.5479       0.2024
47     0.064962       5.0261     -0.32843
48        0.509        4.638       1.5543
49       0.4444       4.6594        1.508
50      0.89297       4.5302       1.7813
51       1.2743       4.6658       1.5061
52     0.050903        4.524        1.784
53        1.735       4.5365       1.7786
54     -0.25628       4.6102       1.6024
55       1.9892       4.6269       1.5951
56     -0.38548        4.653       1.5099
57      0.80583       4.9711       1.2868
58      0.32804       5.3511     0.021551
59       1.2571       5.1534      0.92718
60     -0.79116       4.5177       1.7867
61     0.012278       5.1437      0.93003
62     -0.60154       4.8952       1.2209
63       2.5771       4.5428       1.7758
64     -0.26109        5.315      0.18846
65     -0.73655       5.2581     -0.17954
66      -1.0215       4.5823       1.6505
67       0.6048       5.4437      0.17184
68      0.99755       5.4678     0.060565
69       2.7042        4.588       1.6841
70     -0.59782       5.3348     0.018884
71       2.0653       5.0688       1.1838
72      0.62609       5.3923      0.63913
73      0.48941        5.478      0.26835
74      -1.2154       4.6466       1.5118
75       1.3884       5.3286      0.88921
76       2.3295        5.095       1.0607
77      -0.6142       5.0489       1.1923
