1 1
100 200
578 1595 29 26

Coordinates
1     -0.85356     -0.06102     -0.84104
2     -0.51268    -0.052792     -0.50314
3     -0.45134       0.0524     -0.56297
4     -0.84359    -0.029069     -0.28195
5     -0.28575    -0.053613     -0.84839
6     -0.51827     0.042913      -0.3307
7      -0.1718    -0.044563     -0.16523
8     -0.04912      0.16582      -0.2849
9     -0.83362     0.002882      0.27714
10      0.28206    -0.046205     -0.85573
11     -0.18298      0.14685      0.17965
12    -0.070794      0.69234     -0.23649
13    -0.036237      0.71467     -0.28981
14      0.32091     -0.03979     -0.32141
15     -0.32333    -0.011081      0.32781
16      0.40037     0.063511     -0.57398
17     -0.50332     0.090839      0.50794
18     -0.19097      0.67523      0.18055
19      0.16908    -0.036335      0.17267
20      0.25087      0.10392     0.092896
21     -0.13329      0.69042      0.18872
22      0.18278      0.15197       0.1801
23      0.16946      0.70303      0.12261
24    -0.092469       1.2189     -0.18809
25      0.19119      0.69457      0.18912
26    -0.023354       1.2635     -0.29473
27     -0.82365     0.034833      0.83623
28      0.84986    -0.038798     -0.86307
29     -0.19895       1.2036      0.18145
30     -0.26549     0.016596      0.84032
31      0.85019    -0.032491     -0.29256
32      0.33393     0.063484      0.51406
33    -0.083602        1.234      0.19779
34      0.15614       1.2541     0.065116
35      0.50996    -0.028106      0.51058
36      0.55085     0.042021      0.47069
37      0.51681     0.066046      0.51429
38       0.1996       1.2372      0.19813
39      0.85051    -0.026185      0.27796
40      0.29267    -0.001641       0.8444
41     -0.11414       1.7454     -0.13969
42    -0.010471       1.8124     -0.29964
43     -0.20694        1.732      0.18235
44    -0.033911       1.7776      0.20687
45      0.14282       1.8051    0.0076226
46      0.20801       1.7798      0.20715
47      0.85084    -0.019878      0.84848
48     -0.13582       2.2719    -0.091288
49     -0.21492       2.2604      0.18325
50    0.0024118       2.3612     -0.30456
51       0.1295       2.3562    -0.049871
52      0.01578       2.3211      0.21594
53      0.21642       2.3224      0.21616
54     -0.15749       2.7984    -0.042886
55     -0.22291       2.7888      0.18415
56     0.015067       2.9004     -0.30939
57      0.11646       2.8958     -0.10617
58     0.064684       2.8561      0.22487
59      0.22471       2.8574      0.22505
60     -0.17828       3.3035    0.0035471
61     -0.23057       3.2959      0.18502
62     0.026826       3.4014     -0.31388
63      0.10433       3.3974      -0.1585
